Date,Team,Win,GF,game_lat,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
June 5@@24262,:id: IDN 🏡,39.7,1.3,-4.827971,:om: OMA,30.0,1.1,30.3,0-0,1,Friendly
June 5@@24262,:ge: GEO 🏡,72.0,2.3,41.93037,:bh: BHR,8.3,0.6,19.7,1-0,1,Friendly
June 5@@24262,:by: BLR 🏡,47.5,1.5,53.53761,:sy: SYR,23.3,1.0,29.2,0-0,1,Friendly
June 5@@24262,:pe: PER,49.4,1.6,37.3172,:ht: HAI,22.9,1.0,27.7,1-0,1,Friendly
June 5@@24262,:sk: SVK 🏡,65.0,2.1,48.66519,:me: MNE,12.4,0.8,22.6,1-0,1,Friendly
June 6@@24263,:pt: POR 🏡,73.2,2.4,39.65553,:cl: CHI,7.8,0.6,19.0,1-0,1,Friendly
June 6@@24263,:br: BRA,71.1,2.3,37.3172,:eg: EGY,9.1,0.7,19.8,1-0,1,Friendly
June 6@@24263,:ch: SUI,55.2,1.8,37.3172,:au: AUS,18.8,0.9,26.0,1-0,1,Friendly
June 6@@24263,:am: ARM 🏡,39.0,1.5,40.27288,:kz: KAZ,32.9,1.3,28.1,0-0,1,Friendly
June 6@@24263,:ar: ARG,86.4,3.3,37.3172,:hn: HON,2.7,0.4,10.9,2-0,1,Friendly
June 6@@24263,:ee: EST 🏡,40.0,1.1,59.0178,:fo: FRO,26.0,0.8,34.0,0-0,4,Baltic Cup
June 6@@24263,:pl: POL 🏡,49.1,1.6,51.72587,:xk: KOS,23.4,1.1,27.5,1-0,1,Friendly
June 6@@24263,:qa: QAT,35.7,1.4,37.3172,:sv: SLV,35.7,1.4,28.6,0-0,1,Friendly
June 6@@24263,:al: ALB 🏡,56.8,1.7,41.20574,:lu: LUX,15.9,0.7,27.4,1-0,1,Friendly
June 6@@24263,:gb-sct: SCO,62.1,2.1,37.3172,:bo: BOL,14.8,0.9,23.1,1-0,1,Friendly
June 6@@24263,:ro: ROU 🏡,34.4,1.1,45.05045,:gb-wls: WAL,33.8,1.1,31.8,0-0,1,Friendly
June 6@@24263,:lt: LTU 🏡,34.3,1.1,55.17509,:lv: LVA,32.4,1.0,33.3,0-0,4,Baltic Cup
June 6@@24263,:pa: PAN,42.8,1.5,37.3172,:ba: BIH,29.3,1.2,27.9,0-0,1,Friendly
June 6@@24263,:us: USA 🏡,24.5,1.3,37.3172,:de: GER,50.4,1.9,25.1,0-1,1,Friendly
June 6@@24263,:be: BEL 🏡,70.1,2.2,50.84524,:tn: TUN,9.3,0.7,20.6,1-0,1,Friendly
June 6@@24263,:gb-eng: ENG,87.0,3.3,37.3172,:nz: NZL,2.6,0.4,10.4,2-0,1,Friendly
June 6@@24263,:cw: CUW 🏡,84.5,3.2,12.1468,:aw: ARU,3.7,0.5,11.8,2-0,1,Friendly
June 7@@24264,:dk: DEN 🏡,54.0,1.7,55.85131,:ua: UKR,18.7,0.9,27.3,1-0,1,Friendly
June 7@@24264,:ec: ECU,72.2,2.2,37.3172,:gt: GUA,7.8,0.6,20.0,1-0,1,Friendly
June 7@@24264,:gr: GRE 🏡,25.6,0.9,38.6902,:it: ITA,41.2,1.2,33.2,0-0,1,Friendly
June 7@@24264,:co: COL,74.8,2.4,37.3172,:jo: JOR,6.9,0.6,18.3,1-0,1,Friendly
June 7@@24264,:hr: CRO 🏡,59.9,1.8,45.21638,:si: SVN,14.6,0.8,25.5,1-0,1,Friendly
June 7@@24264,:no: NOR,49.1,1.6,37.3172,:ma: MAR,22.4,1.0,28.5,1-0,1,Friendly
June 8@@24265,:az: AZE,79.5,2.6,47.7831,:sm: SMR,4.6,0.4,15.9,1-0,1,Friendly
June 8@@24265,:ci: CIV,52.6,1.6,37.3172,:iq: IRQ,19.7,0.9,27.7,1-0,1,Friendly
June 8@@24265,:fr: FRA 🏡,80.0,2.6,47.04737,:gb-nir: NIR,4.3,0.4,15.8,1-0,1,Friendly
June 8@@24265,:uy: URU,54.2,1.7,21.34143,:rs: SRB,19.3,0.9,26.5,1-0,1,Friendly
June 8@@24265,:es: ESP,75.6,2.5,21.34143,:pe: PER,6.7,0.6,17.7,1-0,1,Friendly
